主編碼,屬性,詞目,音讀,文白屬性,部首
137,1,人氣,jin5-khi3/lin5-khi3,0,
138,1,刀砧,to1-tiam1,0,
139,1,人馬,jin5-ma2/lin5-ma2,0,
140,1,入院,jip8-inn7/lip8-inn7,0,
141,1,人參,jin5-sim1/lin5-sim1,0,
142,1,人情,jin5-tsing5/lin5-tsing5,0,
143,1,人情世事,jin5-tsing5-se3-su7/lin5-tsing5-se3-su7,0,
144,1,入教,jip8-kau3/lip8-kau3,0,
145,1,人望,jin5-bong7/lin5-bong7,0,
146,1,人造,jin5-tso7/lin5-tso7,0,
147,1,刀喙,to1-tshui3,0,
149,1,入場,jip8-tiunn5/lip8-tiunn5,0,
150,1,了然,liau2-jian5/liau2-lian5,0,
151,1,力量,lik8-liong7,0,
152,1,刁意故,thiau1-i3-koo3,0,
153,1,七爺,Tshit4-ia5,0,
154,1,刀銎,to1-khing1,0,
155,1,又閣,iu7-koh4,0,
156,1,人影,lang5-iann2,0,
157,1,九層塔,kau2-tsan3-thah4,0,
158,1,人範,lang5-pan7,0,
159,1,人緣,lang5-ian5,0,
160,1,入學,jip8-oh8/lip8-oh8,0,
161,1,入選,jip8-suan2/lip8-suan2,0,
162,1,了錢,liau2-tsinn5,0,
163,1,人頭,lang5-thau5,0,
164,1,力頭,lat8-thau5,0,
165,1,入殮,jip8-liam7/lip8-liam7,0,
166,1,入聲,jip8-siann1/lip8-siann1,0,
167,1,刁難,thiau1-lan5,0,
168,1,人權,jin5-khuan5/lin5-khuan5,0,
169,1,丈,tng7,2,一
170,1,三,sam1,1,一
171,1,三,sann1,2,一
172,1,上,tsiunn7,2,一
173,1,上,tshiunn7,2,一
174,1,上,siong7,1,一
175,1,下,e7,2,一
176,1,下,ha7,1,一
177,1,下,he7,2,一
178,1,低,ke7,4,人
179,1,个,e5,0,｜
180,1,丸,uan5,0,丶
181,1,久,ku2,2,丿
182,1,么,io1,0,丿
183,1,乞,khit4,0,乙
184,1,也,ia7,0,乙
185,1,亡,bong5,0,亠
186,1,凡,huan5,0,丶
187,1,凡,huan7,0,丶
188,1,千,tshian1,1,十
189,1,千,tshing1,2,十
190,1,叉,tshe1,0,又
191,1,口,khau2,2,口
192,1,土,thoo2,0,土
193,1,士,su7,0,士
194,1,大,ta1,4,大
195,1,大,tai7,1,大
196,1,大,tua7,2,大
197,1,女,li2/lu2,2,女
198,1,女,lu2,1,女
199,1,子,tsi2,2,子
200,1,子,tsu2,1,子
201,1,子,ji2/li2,4,子
202,1,寸,tshun3,0,寸
203,1,小,siau2,1,小
204,1,小,sio2,2,小
205,1,山,san1,1,山
206,1,山,suann1,2,山
207,1,工,kang1,2,工
208,1,工,kong1,1,工
209,1,己,ki2,1,己
210,1,巳,tsi7,2,己
211,1,巾,kin1/kun1,0,巾
212,1,干,kan1,0,干
213,1,弓,king1,2,弓
214,1,才,tsai5,0,手
215,1,才,tsiah4,4,手
216,1,才,tshai5,0,手
217,1,下𦜆,e7-ham1,0,
218,1,丈人,tiunn7-lang5,0,
219,1,三八,sam1-pat4,0,
220,1,土人,thoo2-lang5,0,
221,1,大人,tai7-jin5/tai7-lin5,0,
222,1,大人,tua7-lang5,0,
223,1,大力,tua7-lat8,0,
224,1,小人,siau2-jin5/siau2-lin5,0,
225,1,川七,tshuan1-tshit4,0,
226,1,工人,kang1-lang5,0,
227,1,丈人公,tiunn7-lang5-kong1,0,
228,1,三七仔,sam1-tshit4-a2,0,
229,1,丈人爸,tiunn7-lang5-pa5,0,
230,1,三八氣,sam1-pat4-khui3,0,
231,1,丈人媽,tiunn7-lang5-ma2,0,
232,1,上久,siong7-ku2,0,
233,1,上山,tsiunn7-suann1,0,
234,1,下山,ha7-san1,0,
235,1,久久,ku2-ku2,0,
236,1,大下,tua7-e7,0,
237,1,小口,sio2-khau2,0,
238,1,小工,sio2-kang1,0,
239,1,才子,tsai5-tsu2,0,
240,1,大丈夫,tai7-tiong7-hu1,0,
241,1,干干仔,kan1-kan1-a2,0,
242,1,三山國王,Sam1-san1-kok4-ong5,0,
243,1,千千萬萬,tshian1-tshian1-ban7-ban7,0,
244,1,上山頭,tsiunn7-suann1-thau5,0,
245,1,丈公,tiunn7-kong1,0,
246,1,上元,Siong7-guan5,0,
247,1,下元,Ha7-guan5,0,
248,1,下勻,e7-un5,0,
249,1,大不了,tai7-put4-liau2,0,
250,1,三不五時,sam1-put4-goo7-si5,0,
251,1,土公仔,thoo2-kong1-a2,0,
252,1,小丑仔,siau2-thiu2-a2,0,
253,1,土公仔性,thoo2-kong1-a2-sing3,0,
254,1,上元暝,Siong7-guan5-me5/Siong7-guan5-mi5,0,
255,1,上午,siong7-ngoo2,0,
256,1,上天,siong7-thian1,0,
257,1,上手,tsiunn7-tshiu2,0,
258,1,上水,tshiunn7-tsui2,0,
259,1,下午,ha7-ngoo2,0,
260,1,下手,he7-tshiu2,0,
261,1,下手,e7-tshiu2,0,
262,1,下水,ha7-sui2,0,
263,1,土木,thoo2-bok8,0,
264,1,大方,tai7-hong1,0,
