主編碼,屬性,詞目,音讀,文白屬性,部首
7722,1,符仔,hu5-a2,0,
7723,1,祧仔內,thiau7-a2-lai7,0,
7724,1,移民,i5-bin5,0,
7725,1,符合,hu5-hap8,0,
7726,1,符咒,hu5-tsiu3,0,
7727,1,祭孤,tse3-koo1,0,
7728,1,祭祀,tse3-su7,0,
7729,1,窒倒街,that4-to2-ke1/that4-to2-kue1,0,
7730,1,祭祖,tse3-tsoo2,0,
7731,1,移動,i5-tong7,0,
7732,1,窒喙空,that4-tshui3-khang1,0,
7733,1,竟然,king3-jian5/king3-lian5,0,
7734,1,章程,tsiong1-thing5,0,
7735,1,符號,hu5-ho7,0,
7736,1,硫磺,liu5-hong5,0,
7737,1,祭獻,tse3-hian3,0,
7738,1,粒,liap8,0,米
7739,1,粕,phoh4,2,米
7740,1,粗,tshoo1,0,米
7741,1,紩,thinn7,4,糸
7742,1,紬,thiu1,0,糸
7743,1,紮,tsah4,2,糸
7744,1,紮,tsat4,1,糸
7745,1,細,se3/sue3,0,糸
7746,1,紲,sua3,4,糸
7747,1,紺,khong2,0,糸
7748,1,絃,hian5,0,糸
7749,1,組,tsoo1,0,糸
7750,1,絆,puann3,2,糸
7751,1,缽,puah4,2,缶
7752,1,羞,tshiu1,4,羊
7753,1,統一,thong2-it4,0,
7754,1,粗人,tshoo1-lang5,0,
7755,1,粗工,tshoo1-kang1,0,
7756,1,紳士,sin1-su7,0,
7757,1,紹介,siau7-kai3,0,
7758,1,紲手,sua3-tshiu2,0,
7759,1,粒仔,liap8-a2,0,
7760,1,絃仔,hian5-a2,0,
7761,1,粗布,tshoo1-poo3,0,
7762,1,紮布,tsah4-poo3,0,
7763,1,粗用,tshoo1-ing7,0,
7764,1,細囝,se3-kiann2/sue3-kiann2,0,
7765,1,組合,tsoo1-hap8,0,
7766,1,紺色,khong2-sik4,0,
7767,1,細位,se3-ui7/sue3-ui7,0,
7768,1,終身,tsiong1-sin1,0,
7769,1,細叔,se3-tsik4/sue3-tsik4,0,
7770,1,粗坯,tshoo1-phue1/tshoo1-phe1,0,
7771,1,紲拍,sua3-phah4,0,
7772,1,粗俗,tshoo1-siok8,0,
7773,1,粗勇,tshoo1-iong2,0,
7774,1,粗俗物仔,tshoo1-siok8-mih4-a2,0,
7775,1,粗俗貨,tshoo1-siok8-hue3/tshoo1-siok8-he3,0,
7776,1,細姨,se3-i5/sue3-i5,0,
7777,1,粗穿,tshoo1-tshing7,0,
7778,1,粗重,tshoo1-tang7,0,
7779,1,紩衫,thinn7-sann1,0,
7780,1,統計,thong2-ke3,0,
7781,1,粗紙,tshoo1-tsua2,0,
7782,1,粗桶,tshoo1-thang2,0,
7783,1,粗瓷,tshoo1-hui5,0,
7784,1,粕粕,phoh4-phoh4,0,
7785,1,細粒子,se3-liap8-tsi2/sue3-liap8-tsi2,0,
7786,1,紲喙,sua3-tshui3,0,
7787,1,紲喙尾,sua3-tshui3-bue2/sua3-tshui3-be2,0,
7788,1,細菌,se3-khun2/sue3-khun2,0,
7789,1,粗菜便飯,tshoo1-tshai3 pian7-png7,0,
7790,1,紲落去,sua3--loh8-khi3,0,
7791,1,粗飽,tshoo1-pa2,0,
7792,1,習慣,sip8-kuan3,0,
7793,1,細漢,se3-han3/sue3-han3,0,
7794,1,粗魯,tshoo1-loo2,0,
7795,1,粒積,liap8-tsik4,0,
7796,1,累積,lui2-tsik4,0,
7797,1,細膩,se3-ji7/sue3-li7,0,
7798,1,紹興酒,siau7-hing1-tsiu2,0,
7799,1,紮錢,tsah4 tsinn5,0,
7800,1,組頭,tsoo1-thau5,0,
7801,1,粗糠,tshoo1-khng1,0,
7802,1,細聲,se3-siann1/sue3-siann1,0,
7803,1,組織,tsoo1-tsit4,0,
7804,1,脣,tun5,0,肉
7805,1,脫,thuat4,1,肉
7806,1,脫,thut8,4,肉 
7807,1,脯,poo2,0,肉
7808,1,舂,tsing1,0,臼
7809,1,船,tsun5,0,舟
7810,1,莊,tsng1,2,艸
7811,1,舵公,tai7-kong1,0,
7812,1,脫手,thuat4-tshiu2,0,
7813,1,耞仔,kenn2-a2/kinn2-a2,0,
7814,1,船主,tsun5-tsu2,0,
7815,1,船仔,tsun5-a2,0,
7816,1,荷包,ha5-pau1,0,
7817,1,舂米,tsing1-bi2,0,
7818,1,舂臼,tsing1-khu7,0,
7819,1,船尾,tsun5-bue2/tsun5-be2,0,
7820,1,脫走,thuat4-tsau2,0,
7821,1,脫身,thuat4-sin1,0,
7822,1,船員,tsun5-uan5,0,
7823,1,脯脯,poo2-poo2,0,
7824,1,聊聊仔,liau5-liau5-a2,0,
7825,1,船期,tsun5-ki5,0,
7826,1,脫種,thuat4-tsing2,0,
7827,1,船廠,tsun5-tshiunn2,0,
7828,1,脫箠,thut4-tshue5/thut4-tshe5,0,
7829,1,脫線,thuat4-suann3,0,
7830,1,脫輪,thut8-lun5,0,
7831,1,船艙,tsun5-tshng1,0,
7832,1,船頭,tsun5-thau5,0,
7833,1,脫離,thuat4-li7,0,
7834,1,莊嚴,tsong1-giam5,0,
7835,1,荷蘭豆,hue5-lian5-tau7,0,
7836,1,莢,ngeh4,0,艸
7837,1,莫,bok8,0,艸
7838,1,莫,mai3,4,艸
7839,1,蚵,o5,4,虫
7840,1,蚶,ham1,0,虫
7841,1,蛀,tsiu3,2,虫
7842,1,蛆,tshi1/tshu1,0,虫
7843,1,蛇,tsua5,2,虫
7844,1,處方,tshu2-hng1,0,
7845,1,蚵仔,o5-a2,0,
7846,1,蚶仔,ham1-a2,0,
7847,1,蚵仔煎,o5-a2-tsian1,0,
7848,1,蚵仔麵線,o5-a2-mi7-suann3,0,
7849,1,蛇瓜,tsua5-kue1,0,
7850,1,處份,tshu2-hun7,0,
7851,1,莫怪,bok8-kuai3,0,
7852,1,莫非,bok8-hui1,0,
7853,1,蚵炱,o5-te1,0,
7854,1,處理,tshu2-li2,0,
7855,1,莧菜,hing7-tshai3,0,
7856,1,處置,tshu2-ti3,0,
7857,1,處罰,tshu2-huat8,0,
7858,1,蛀鼻,tsiu3-phinn7,0,
7859,1,蛀齒,tsiu3-khi2,0,
7860,1,蛀龜仔,tsiu3-ku1-a2,0,
7861,1,莫講,mai3-kong2,0,
7862,1,蛀蟲,tsiu3-thang5,0,
7863,1,術,sut8,4,行
7864,1,術,sut8,0,行
7865,1,袋,te7,2,衣
7866,1,袚,phuah8,4,衣
7867,1,被,pi7,1,衣
7868,1,被,phue7/phe7,2,衣
7869,1,規,kui1,0,見
7870,1,覓,ba7,4,見
7871,1,覓,mai7,4,見
7872,1,訣,kuat4,0,言
7873,1,設,siat4,0,言
7874,1,豉,sinn7,4,豆
7875,1,規个,kui1-e5,0,
7876,1,規千萬,kui1-tshing1-ban7,0,
7877,1,規心,kui1-sim1,0,
7878,1,規爿,kui1-ping5,0,
7879,1,袋仔,te7-a2,0,
7880,1,規世人,kui1-si3-lang5,0,
7881,1,許可,hi2-kho2/hu2-kho2,0,
7882,1,設立,siat4-lip8,0,
7883,1,規年迵天,kui1-ni5-thang3-thinn1,0,
7884,1,歸尾,kui1-bue2/kui1-be2,0,
7885,1,設局,siat4-kiok8,0,
7886,1,規身軀,kui1-sin1-khu1,0,
7887,1,規定,kui1-ting7,0,
7888,1,規則,kui1-tsik4,0,
7889,1,規律,kui1-lut8,0,
7890,1,設施,siat4-si1,0,
7891,1,設計,siat4-ke3,0,
7892,1,規面,kui1 bin7,0,
7893,1,規氣,kui1-khi3,0,
7894,1,規矩,kui1-ki2/kui1-ku2,0,
7895,1,規陣,kui1-tin7,0,
7896,1,訪問,hong2-bun7,0,
7897,1,規堆,kui1-tui1,0,
7898,1,設備,siat4-pi7,0,
7899,1,被單,phue7-tuann1/phe7-tuann1,0,
7900,1,設想,siat4-siong2,0,
7901,1,規腹火,kui1-pak4-hue2/kui1-pak4-he2,0,
7902,1,規路,kui1-loo7,0,
7903,1,豉膎,sinn7-ke5/sinn7-kue5,0,
7904,1,規模,kui1-boo5,0,
7905,1,設緣投,siat4-ian5-tau5,0,
7906,1,鴟鴞,ba7-hioh8,0,
7907,1,袚鍊,phuah8-lian7,0,
7908,1,被囊,phue7-long5/phe7-long5,0,
7909,1,豉鹽,sinn7-iam5,0,
7910,1,貨,hue3/he3,2,貝
7911,1,販,huan3,1,貝
7912,1,販,phuann3,2,貝
7913,1,貪,tham1,0,貝
7914,1,貫,kng3,2,貝
7915,1,赦,sia3,0,赤
7916,1,趼,lan1,4,足
7917,1,跂,kue2/ke2,4,足
7918,1,軟,nng2,2,車
7919,1,透,thau3,2,辵
7920,1,逐,jiok4/lip4,2,辵
7921,1,逐,tak8,2,辵
7922,1,途,too5,0,辵
7923,1,這,tse1,4,辵
7924,1,這,tsit4,4,辵
7925,1,通,thang1,2,辵
7926,1,通,thong1,1,辵
7927,1,逝,tsua7,0,辵
7928,1,逞,thing2,0,辵
7929,1,造,tso7,0,辵
7930,1,連,lian5,1,辵
7931,1,軟𩛩𩛩,nng2-kauh4-kauh4,0,
7932,1,軟㽎㽎,nng2-sim3-sim3,0,
7933,1,逐个,tak8 e5,0,
7934,1,透中晝,thau3-tiong1-tau3,0,
7935,1,貪心,tham1-sim1,0,
7936,1,軟心,nng2-sim1,0,
7937,1,透日,thau3-jit8/thau3-lit8,0,
7938,1,逐日,tak8-jit8/tak8-lit8,0,
7939,1,造化,tso7-hua3,0,
7940,1,造反,tso7-huan2,0,
7941,1,透心涼,thau3-sim1-liang5,0,
7942,1,貨主,hue3-tsu2/he3-tsu2,0,
7943,1,販仔,huan3-a2,0,
7944,1,透世人,thau3-si3-lang5,0,
7945,1,這世人,tsit4-si3-lang5,0,
7946,1,販仔白,huan3-a2-peh8,0,
7947,1,通用,thong1-iong7,0,
7948,1,責任,tsik4-jim7/tsik4-lim7,0,
7949,1,通光,thang1-kng1,0,
7950,1,連回,lian5-hue5,0,
7951,1,透年,thau3-ni5,0,
7952,1,逐年,tak8-ni5,0,
7953,1,透早,thau3-tsa2,0,
7954,1,貧血,pin5-hiat4,0,
7955,1,貨色,hue3-sik4/he3-sik4,0,
7956,1,赦免,sia3-bian2,0,
7957,1,貨尾,hue3-bue2/he3-be2,0,
7958,1,透尾,thau3-bue2/thau3-be2,0,
7959,1,通批,thong1-phue1,0,
7960,1,軟汫,nng2-tsiann2,0,
7961,1,貨底,hue3-te2/he3-tue2,0,
7962,1,貪官汙吏,tham1-kuann1-u3-li7,0,
7963,1,通知,thong1-ti1,0,
7964,1,透雨,thau3-hoo7,0,
7965,1,通姦,thong1-kan1,0,
7966,1,速度,sok4-too7,0,
7967,1,透流,thau3-lau5,0,
7968,1,貪食,tham1-tsiah8,0,
7969,1,透風,thau3-hong1,0,
7970,1,通風,thang1-hong1,0,
7971,1,販厝,huan3-tshu3,0,
7972,1,逐家,tak8-ke1,0,
7973,1,軟弱,luan2-jiok8/luan2-liok8,0,
7974,1,通書,thong1-su1,0,
7975,1,這站,tsit4-tsam7,0,
7976,1,貨草,hue3-tshau2/he3-tshau2,0,
7977,1,軟荍荍,nng2-sio5-sio5,0,
7978,1,貪財,tham1-tsai5,0,
7979,1,貫針,kng3-tsiam1,0,
7980,1,軟骨,nng2-kut4,0,
7981,1,這陣,tsit4-tsun7,0,
7982,1,這馬,tsit4-ma2,0,
7983,1,通常,thong1-siong5,0,
7984,1,軟晡,nng2-poo1,0,
7985,1,連累,lian5-lui7,0,
7986,1,連紲,lian5-sua3,0,
7987,1,貨船,hue3-tsun5/he3-tsun5,0,
7988,1,販貨,phuann3-hue3/phuann3-he3,0,
7989,1,責備,tsik4-pi7,0,
7990,1,通報,thong1-po3,0,
7991,1,貧惰,pin5-tuann7,0,
7992,1,貧惰骨,pin5-tuann7-kut4,0,
7993,1,軟絲仔,nng2-si1-a2,0,
7994,1,軟塗深掘,nng2-thoo5-tshim1-kut8,0,
7995,1,這搭,tsit4-tah4,0,
7996,1,透暗,thau3-am3,0,
7997,1,逐暗,tak8-am3,0,
7998,1,赦罪,sia3-tsue7,0,
7999,1,跂跤,kue2 kha1/ke2 kha1,0,
8000,1,軟跤,nng2-kha1,0,
8001,1,造話,tso7-ue7,0,
8002,1,軟跤蝦,nng2-kha1-he5,0,
8003,1,貧道,pin5-to7,0,
8004,1,這過,tsit4-kue3/tsit4-ke3,0,
8005,1,通過,thong1-kue3/thong1-ke3,0,
8006,1,造路,tso7-loo7,0,
8007,1,通鼓,thong1-koo2,0,
8008,1,透暝,thau3-me5/thau3-mi5,0,
8009,1,造福,tso7-hok4,0,
8010,1,軟膏膏,nng2-ko5-ko5,0,
8011,1,逍遙,siau1-iau5,0,
8012,1,貨樣,hue3-iunn7/he3-iunn7,0,
8013,1,通緝,thong1-tsip8,0,
8014,1,販賣,huan3-be7/huan3-bue7,0,
8015,1,貨頭,hue3-thau5/he3-thau5,0,
8016,1,連環,lian5-khuan5,0,
8017,1,這聲,tsit4-siann1,0,
8018,1,這點仔,tsit4-tiam2-a2,0,
8019,1,逐擺,tak8-pai2,0,
8020,1,連鞭,liam5-mi1,0,
8021,1,軟轎,nng2-kio7,0,
8022,1,通譯,thong1-ik8,0,
8023,1,連續,lian5-siok8,0,
8024,1,貪戀,tham1-luan5,0,
8025,1,部,poo7,0,邑
8026,1,部,pho7,4,邑
8027,1,都,to1,2,邑
8028,1,野,ia2,0,里
8029,1,釣,tio3,2,金
8030,1,釧,tshuan1,0,金
8031,1,閉,pi3,0,門
8032,1,陪,pue5,0,阜
8033,1,陰,im1,1,阜
8034,1,陵,nia7,4,阜
8035,1,陷,ham7,0,阜
8036,1,雪,seh4,2,雨
8037,1,雪,suat4,1,雨
8038,1,頂,ting2,0,頁
8039,1,頂𦜆,ting2-ham1,0,
8040,1,部下,poo7-ha7,0,
8041,1,頂下,ting2-e7,0,
8042,1,陳三五娘,Tan5-sann1-Goo7-niu5,0,
8043,1,部份,poo7-hun7,0,
8044,1,頂勻,ting2-un5,0,
8045,1,野心,ia2-sim1,0,
8046,1,雪文,sap4-bun5,0,
8047,1,頂手,ting2-tshiu2,0,
8048,1,頂日,ting2-jit8/ting2-lit8,0,
8049,1,頂月,ting2-gueh8/ting2-geh8,0,
8050,1,頂月日,ting2 gueh8-jit8/ting2 geh8-lit8,0,
8051,1,頂日仔,ting2-jit8-a2/ting2-lit8-a2,0,
8052,1,雪文粉,sap4-bun5-hun2,0,
8053,1,頂世人,ting2-si3-lang5,0,
8054,1,雪仔柑,seh4-a2-kam1,0,
8055,1,頂冬,ting2-tang1,0,
8056,1,頂司,ting2-si1,0,
8057,1,頂半身,ting2-puann3-sin1,0,
8058,1,頂半暝,ting2-puann3-me5/ting2-puann3-mi5,0,
8059,1,都市,too1-tshi7,0,
8060,1,野生,ia2-sing1,0,
8061,1,都合,too1-hap8,0,
8062,1,陰地,im1-te7/im1-tue7,0,
8063,1,部位,poo7-ui7,0,
8064,1,陪伴,pue5-phuann7,0,
8065,1,陷坑,ham7-khenn1/ham7-khinn1,0,
8066,1,野味,ia2-bi7,0,
8067,1,野性,ia2-sing3,0,
8068,1,頂肱骨,ting2-kong1-kut4,0,
8069,1,部長,poo7-tiunn2,0,
8070,1,閉思,pi3-su3,0,
8071,1,頂面,ting2-bin7,0,
8072,1,陷害,ham7-hai7,0,
8073,1,陷眠,ham7-bin5,0,
8074,1,頂真,ting2-tsin1,0,
8075,1,野馬,ia2-be2,0,
8076,1,陳情,tin5-tsing5,0,
8077,1,陰桮,im1-pue1,0,
8078,1,頂晡,ting2-poo1,0,
8079,1,野球,ia2-kiu5,0,
8080,1,粟鳥仔,tshik4-tsiau2-a2,0,
8081,1,釣魚翁,tio3-hi5-ang1/tio3-hu5-ang1,0,
8082,1,雀斑,tshiok4-pan1,0,
8083,1,頂替,ting2-the3/ting2-thue3,0,
8084,1,頂港,ting2-kang2,0,
8085,1,陰間,im1-kan1,0,
8086,1,陰陽,im1-iong5,0,
8087,1,部落,poo7-lok8,0,
8088,1,頂落,ting2-loh8,0,
8089,1,頂腹蓋,ting2-pak4-kua3,0,
8090,1,頂過,ting2-kue3/ting2-ke3,0,
8091,1,釣鉤,tio3-kau1,0,
8092,1,陪綴,pue5-tue3/pue5-te3,0,
8093,1,釣餌,tio3-ji7/tio3-li7,0,
8094,1,陰魂,im1-hun5,0,
8095,1,陰德,im1-tik4,0,
8096,1,頂層,ting2-tsan3,0,
8097,1,頂輩,ting2-pue3,0,
8098,1,陰鴆,im1-thim1,0,
8099,1,陰曆,im1-lik8,0,
8100,1,陸橋,liok8-kio5,0,
8101,1,陰謀,im1-boo5/im1-bio5,0,
8102,1,頂頭,ting2-thau5,0,
8103,1,頂幫,ting2-pang1,0,
8104,1,頂擺,ting2-pai2,0,
8105,1,野雞仔車,ia2-ke1-a2-tshia1/ia2-kue1-a2-tshia1,0,
8106,1,野獸,ia2-siu3,0,
8107,1,頂懸,ting2-kuan5,0,
8108,1,野蠻,ia2-ban5,0,
8109,1,魚,hi5/hu5,2,魚
8110,1,鳥,tsiau2,2,鳥
8111,1,鹿,lok8,0,鹿
8112,1,麥,beh8,0,麥
8113,1,麻,ba5,0,麻
8114,1,麻,mua5,2,麻
8115,1,魚丸,hi5-uan5/hu5-uan5,0,
8116,1,魚子,hi5-tsi2/hu5-tsi2,0,
8117,1,麥片,beh8-phinn3,0,
8118,1,鳥仔,tsiau2-a2,0,
8119,1,鹿仔,lok8-a2,0,
8120,1,麥仔,beh8-a2,0,
8121,1,魚仔市,hi5-a2-tshi7/hu5-a2-tshi7,0,
8122,1,鳥仔岫,tsiau2-a2-siu7,0,
8123,1,麥仔茶,beh8-a2-te5,0,
8124,1,麥仔酒,beh8-a2-tsiu2,0,
8125,1,鳥仔踏,tsiau2-a2-tah8,0,
8126,1,麻布,mua5-poo3,0,
8127,1,魚池,hi5-ti5/hu5-ti5,0,
8128,1,麻竹,mua5-tik4,0,
8129,1,麻竹筍,mua5-tik4-sun2,0,
8130,1,魚肝油,hi5-kuann1-iu5/hu5-kuann1-iu5,0,
8131,1,鹿角,lok8-kak4,0,
8132,1,魚刺,hi5-tshi3/hu5-tshi3,0,
8133,1,魚拊,hi5-hu2/hu5-hu2,0,
8134,1,麻油,mua5-iu5,0,
8135,1,麻油酒,mua5-iu5-tsiu2,0,
8136,1,麻虱目,mua5-sat4-bak8,0,
8137,1,麥芽膏,beh8-ge5-ko1,0,
8138,1,麥芽糖,beh8-ge5-thng5,0,
8139,1,麻衫,mua5-sann1,0,
8140,1,麻射,ba5-sia7,0,
8141,1,魚栽,hi5-tsai1/hu5-tsai1,0,
8142,1,魚翅,hi5-tshi3/hu5-tshi3,0,
8143,1,麻索,mua5-soh4,0,
8144,1,鹿茸,lok8-jiong5/lok8-liong5,0,
8145,1,鳥梨仔,tsiau2-lai5-a2,0,
8146,1,魚脯,hi5-poo2/hu5-poo2,0,
8147,1,麻袋,mua5-te7,0,
8148,1,麻雀,mua5-tshiok4,0,
8149,1,麻雀子仔,mua5-tshiok4-ji2-a2/mua5-tshiok4-li2-a2,0,
8150,1,魚釣仔,hi5-tio3-a2/hu5-tio3-a2,0,
8151,1,魚塭,hi5-un3/hu5-un3,0,
8152,1,麻痺,ba5-pi3,0,
8153,1,鳥銃,tsiau2-tshing3,0,
8154,1,鳥鼠,niau2-tshi2/niau2-tshu2,0,
8155,1,鳥鼠仔冤,niau2-tshi2-a2-uan1/niau2-tshu2-a2-uan1,0,
8156,1,鳥鼠仔症,niau2-tshi2-a2-tsing3/niau2-tshu2-a2-tsing3,0,
8157,1,鳥鼠張,niau2-tshi2-tng1/niau2-tshu2-tng1,0,
8158,1,鳥鼠擗仔,niau2-tshi2-phiak8-a2/niau2-tshu2-phiak8-a2,0,
8159,1,鳥鼠觸仔,niau2-tshi2-tak4-a2/niau2-tshu2-tak4-a2,0,
8160,1,魚網,hi5-bang7/hu5-bang7,0,
8161,1,魚餌,hi5-ji7/hu5-li7,0,
8162,1,麻糍,mua5-tsi5,0,
8163,1,麻醉,ba5-tsui3,0,
8164,1,鳥擗仔,tsiau2-phiak8-a2,0,
8165,1,魚頭,hi5-thau5/hu5-thau5,0,
8166,1,魚臊,hi5-tsho1/hu5-tsho1,0,
8167,1,魚鮮,hi5-tshinn1/hu5-tshinn1,0,
8168,1,魚藤,hi5-tin5/hu5-tin5,0,
8169,1,麻藥,ba5-ioh8,0,
8170,1,魚鰓,hi5-tshi1/hu5-tshi1,0,
8171,1,魚鰾,hi5-pio7/hu5-pio7,0,
8172,1,魚鱗,hi5-lan5/hu5-lan5,0,
8173,1,魚鱗𤺅仔,hi5-lan5-tshe3-a2/hu5-lan5-tshe3-a2,0,
8174,1,麻粩,mua5-lau2,0,
8175,1,傍,png7,2,人
8176,1,傘,suann3,2,人
8177,1,傑出,kiat8-tshut4,0,
8178,1,備查,pi7-tsa1,0,
8179,1,傀儡,ka1-le2,0,
8180,1,傀儡戲,ka1-le2-hi3,0,
8181,1,割,kuah4,2,刀
8182,1,創,tshong1,0,刀
8183,1,創,tshong3,0,刀
8184,1,勞,lo5,0,力
8185,1,博,phok4,0,十
8186,1,啼,thi5,0,口
8187,1,喀,khennh8,4,口
8188,1,喂,--eh4,4,口
8189,1,喂,--ueh4,4,口
8190,1,喃,nauh4,4,口
8191,1,善,sian7,0,羊
8192,1,喈,kainn1,4,口
8193,1,喊,hiam3,4,口
8194,1,喋,thih8,4,口
8195,1,喌,tsu5,4,口
8196,1,喓,iaunn1,4,口
8197,1,喔,--ooh4,0,口
8198,1,喘,tshuan2,0,口
8199,1,喙,tshui3,0,口
8200,1,喝,huah4,2,口
8201,1,喢,sannh4,4,口
8202,1,喙䫌,tshui3-phue2,0,
8203,1,勞力,loo2-lat8,0,
8204,1,勞力,lo5-lik8,0,
8205,1,勞工,lo5-kang1,0,
8206,1,博士,phok4-su7,0,
8207,1,喙口,tshui3-khau2,0,
8208,1,喙下斗,tshui3-e7-tau2,0,
8209,1,喘大氣,tshuan2-tua7-khui3,0,
8210,1,勞心,lo5-sim1,0,
8211,1,喙斗,tshui3-tau2,0,
8212,1,喙水,tshui3-sui2,0,
8213,1,割包,kuah4-pau1,0,
8214,1,喇叭,la2-pah4,0,
8215,1,喙白,tshui3-peh8,0,
8216,1,割肉,kuah4-bah4,0,
8217,1,喙舌,tshui3-tsih8,0,
8218,1,勝利,sing3-li7,0,
8219,1,喙尾,tshui3-bue2/tshui3-be2,0,
8220,1,善男信女,sian7-lam5-sin3-li2/sian7-lam5-sin3-lu2,0,
8221,1,善良,sian7-liong5,0,
8222,1,喙角,tshui3-kak4,0,
8223,1,喜帖,hi2-thiap4,0,
8224,1,創治,tshong3-ti7,0,
8225,1,博物,phok4-but8,0,
8226,1,博物館,phok4-but8-kuan2,0,
8227,1,創空,tshong3-khang1,0,
8228,1,喙空,tshui3-khang1,0,
8229,1,喙花,tshui3-hue1,0,
8230,1,割金,kuah4-kim1,0,
8231,1,喝咻,huah4-hiu1,0,
8232,1,喝玲瑯,huah4-lin1-long1,0,
8233,1,割香,kuah4-hiunn1,0,
8234,1,啼哭,thi5-khau3,0,
8235,1,喝拳,huah4-kun5,0,
8236,1,喘氣,tshuan2-khui3,0,
8237,1,割耙,kuah4-pe7,0,
8238,1,喙臭,tshui3-tshau3,0,
8239,1,喜酒,hi2-tsiu2,0,
8240,1,勞動,lo5-tong7,0,
8241,1,喙脣,tshui3-tun5,0,
8242,1,喙脣皮,tshui3-tun5-phue5/tshui3-tun5-phe5,0,
8243,1,割貨,kuah4-hue3/kuah4-he3,0,
8244,1,創造,tshong3-tso7,0,
8245,1,喝魚仔,huah4-hi5-a2/huah4-hu5-a2,0,
8246,1,割喉,kuah4-au5,0,
8247,1,啼啼哭哭,thi5-thi5-khau3-khau3,0,
8248,1,創景,tshong3-king2,0,
8249,1,喙殘,tshui3-tsuann5,0,
8250,1,喙焦,tshui3-ta1,0,
8251,1,博愛,phok4-ai3,0,
8252,1,創業,tshong3-giap8,0,
8253,1,喉滇,au5-tinn7,0,
8254,1,勞煩,lo5-huan5,0,
8255,1,喀痰,khennh8 tham5,0,
8256,1,喙罨,tshui3-am1,0,
8257,1,喙箍,tshui3-khoo1,0,
8258,1,割價,kuah4-ke3,0,
8259,1,喜劇,hi2-kiok8,0,
8260,1,喑噁,inn3-onn3,0,
8261,1,割稻仔,kuah4-tiu7-a2,0,
8262,1,割稻仔尾,kuah4-tiu7-a2-bue2/kuah4-tiu7-a2-be2,0,
8263,1,喙齒,tshui3-khi2,0,
8264,1,喙齒根,tshui3-khi2-kin1/tshui3-khi2-kun1,0,
8265,1,創辦,tshong3-pan7,0,
8266,1,創舉,tshong3-ki2/tshong3-ku2,0,
8267,1,喉韻,au5-un7,0,
8268,1,喙瀾,tshui3-nua7,0,
8269,1,喉鐘,au5-tsing1,0,
8270,1,喙鬚,tshui3-tshiu1,0,
8271,1,喨,liang1,4,口
8272,1,單,tuann1,2,口
8273,1,圍,ui5,0,囗
8274,1,堪,kham1,0,土
8275,1,報,po3,0,土
8276,1,場,tiunn5,2,土
8277,1,壺,hoo5,1,士
8278,1,壺,oo5,2,士
8279,1,圍巾,ui5-kin1/ui5-kun1,0,
8280,1,單元,tan1-guan5,0,
8281,1,報仇,po3-siu5,0,
8282,1,喨仔,liang1-a2,0,
8283,1,喪失,song3-sit4,0,
8284,1,場合,tiunn5-hap8,0,
8285,1,單位,tan1-ui7,0,
8286,1,報告,po3-ko3,0,
8287,1,單身,tuann1-sin1,0,
8288,1,喪事,song1-su7,0,
8289,1,報到,po3-to3,0,
8290,1,場所,tiunn5-soo2,0,
8291,1,場面,tiunn5-bin7,0,
8292,1,報冤,po3-uan1,0,
8293,1,報恩,po3-un1,0,
8294,1,單純,tan1-sun5,0,
8295,1,報紙,po3-tsua2,0,
8296,1,報馬仔,po3-be2-a2,0,
8297,1,單逝,tuann1-tsua7,0,
8298,1,報復,po3-hok8,0,
8299,1,圍棋,ui5-ki5,0,
8300,1,報答,po3-tap4,0,
8301,1,單跤手,tuann1-kha1-tshiu2,0,
8302,1,報數,po3-siau3,0,
8303,1,報銷,po3-siau1,0,
8304,1,單獨,tan1-tok8,0,
8305,1,報頭,po3-thau5,0,
8306,1,圍牆,ui5-tshiunn5,0,
8307,1,圍軀裙,ui5-su1-kun5,0,
8308,1,圍爐,ui5-loo5,0,
8309,1,媌,ba5,4,女
8310,1,媠,sui2,4,女
8311,1,富,pu3,2,宀
8312,1,寒,kuann5,2,宀
8313,1,寒,gan5,4,宀
8314,1,尊,tsun1,0,寸
8315,1,尋,siam5,2,寸
8316,1,就,tsiu7,0,尢
8317,1,就,to7,4,尢
8318,1,媒人,mue5-lang5/hm5-lang5,0,
8319,1,寒人,kuann5--lang5,0,
8320,1,媒人公,mue5-lang5-kong1/hm5-lang5-kong1,0,
8321,1,媒人婆,mue5-lang5-po5/hm5-lang5-po5,0,
8322,1,媒人喙,mue5-lang5-tshui3/hm5-lang5-tshui3,0,
8323,1,媒人禮,mue5-lang5-le2/hm5-lang5-le2,0,
8324,1,富戶,hu3-hoo7,0,
8325,1,寒天,kuann5-thinn1,0,
8326,1,媌仔,ba5-a2,0,
8327,1,媠色,sui2-sik4,0,
8328,1,尊長,tsun1-tiong2,0,
8329,1,就近,tsiu7-kin7/tsiu7-kun7,0,
8330,1,就是,to7 si7,0,
8331,1,就按呢,tsiu7-an2-ne1,0,
8332,1,寒流,han5-liu5,0,
8333,1,寒衫,kuann5-sann1,0,
8334,1,尊重,tsun1-tiong7,0,
8335,1,媠氣,sui2-khui3,0,
8336,1,富強,hu3-kiong5,0,
8337,1,寒著,kuann5--tioh8,0,
8338,1,富貴,hu3-kui3,0,
8339,1,尊貴,tsun1-kui3,0,
8340,1,尊敬,tsun1-king3,0,
8341,1,富裕,hu3-ju7/hu3-lu7,0,
